timestamp_utc,apple_hr_bpm,oura_hr_bpm,apple_avnn_ms,oura_avnn_ms
2025-02-27 17:15:00+00:00,83.0,71.33333333333333,722.8915662650602,859.8506611448942
2025-02-27 17:20:00+00:00,82.0,84.33333333333333,731.7073170731708,712.8143392188335
2025-02-27 17:25:00+00:00,84.9125,86.0,706.609745326071,716.0687703456512
2025-02-27 17:30:00+00:00,88.5,88.0,682.8703703703704,682.1705426356589
2025-02-27 17:35:00+00:00,84.297,,711.7779376450205,
2025-02-27 17:40:00+00:00,,80.66666666666667,,744.1284123837121
2025-02-27 17:45:00+00:00,84.5,104.0,710.681244743482,578.4365701147948
2025-02-27 17:50:00+00:00,75.0,60.0,800.0,1024.5825576569196
2025-02-27 17:55:00+00:00,,,,
2025-02-27 18:00:00+00:00,81.5,80.33333333333333,739.5644283121597,748.6643437862949
2025-02-27 18:05:00+00:00,,,,
2025-02-27 18:10:00+00:00,79.0,75.5,759.493670886076,810.375670840787
2025-02-27 18:15:00+00:00,79.0,76.66666666666667,759.6153846153846,790.6693711967546
2025-02-27 18:20:00+00:00,,82.0,,732.668229479002
2025-02-27 18:25:00+00:00,82.0,,731.7073170731708,
2025-02-27 18:30:00+00:00,88.0,,686.1598440545808,
2025-02-27 18:35:00+00:00,159.0,112.08333333333333,377.35849056603774,536.6302963754221
2025-02-27 18:40:00+00:00,126.0,115.21666666666667,542.3242467718795,521.0315163253888
2025-02-27 18:45:00+00:00,162.5,114.03333333333333,369.9611807380535,527.4042063292038
2025-02-27 18:50:00+00:00,,,,
2025-02-27 18:55:00+00:00,69.0,72.33333333333333,869.5652173913044,880.1648049650333
2025-02-27 19:00:00+00:00,,92.33333333333333,,650.0419431098909
2025-02-27 19:05:00+00:00,96.0,100.33333333333333,625.0,599.7931336277201
2025-02-27 19:10:00+00:00,91.0,92.66666666666667,659.3406593406594,647.6978399175196
2025-02-27 19:15:00+00:00,86.0,95.0,697.6744186046511,632.7485380116959
2025-02-27 19:20:00+00:00,86.0,82.0,697.6744186046511,731.9976771196284
2025-02-27 19:25:00+00:00,,,,
2025-02-27 19:30:00+00:00,70.5,78.0,853.1665994352561,770.582965704917
2025-02-27 19:35:00+00:00,,,,
2025-02-27 19:40:00+00:00,76.0,,789.4736842105264,
2025-02-27 19:45:00+00:00,82.0,,731.7073170731708,
2025-02-27 19:50:00+00:00,80.5,,747.6780185758514,
2025-02-27 19:55:00+00:00,82.0,,731.7073170731708,
2025-02-27 20:00:00+00:00,,,,
2025-02-27 20:05:00+00:00,,,,
2025-02-27 20:10:00+00:00,,,,
2025-02-27 20:15:00+00:00,,,,
2025-02-27 20:20:00+00:00,,,,
2025-02-27 20:25:00+00:00,,,,
2025-02-27 20:30:00+00:00,,,,
2025-02-27 20:35:00+00:00,,,,
2025-02-27 20:40:00+00:00,,,,
2025-02-27 20:45:00+00:00,,,,
2025-02-27 20:50:00+00:00,,,,
2025-02-27 20:55:00+00:00,,,,
2025-02-27 21:00:00+00:00,,,,
2025-02-27 21:05:00+00:00,,,,
2025-02-27 21:10:00+00:00,,,,
2025-02-27 21:15:00+00:00,,,,
2025-02-27 21:20:00+00:00,,,,
2025-02-27 21:25:00+00:00,,,,
2025-02-27 21:30:00+00:00,,,,
2025-02-27 21:35:00+00:00,,,,
2025-02-27 21:40:00+00:00,115.5,,521.680216802168,
2025-02-27 21:45:00+00:00,73.5,85.66666666666667,830.1957831325301,701.4187788936714
2025-02-27 21:50:00+00:00,84.0,85.0,714.2857142857143,706.4692839441764
2025-02-27 21:55:00+00:00,87.0,92.33333333333333,689.6551724137931,650.4437388047548
2025-02-27 22:00:00+00:00,89.0,87.08333333333333,674.1573033707865,689.2618205788983
2025-02-27 22:05:00+00:00,,90.63333333333334,,662.3014601481832
2025-02-27 22:10:00+00:00,58.0,109.96666666666667,1034.4827586206898,552.5268393459517
2025-02-27 22:15:00+00:00,146.6,115.18333333333334,426.1151148083789,522.288882492808
